run,output,choice_made,choice_index,success
0,0x02,0x18,0,1
0,0x1c,0x53,0,1
0,0x2d,0x84,0,1
0,0x33,0x06,0,1
0,0x49,0x4d,0,1
0,0x57,0xb8,0,1
0,0x66,0x29,0,1
0,0x78,0x15,0,1
0,0x8d,0x89,0,1
0,0x93,0xa6,0,1
0,0xa2,0x3a,0,1
0,0xbc,0x0b,0,1
0,0xc6,0x37,0,1
0,0xd8,0x6f,0,1
0,0xe9,0x24,0,1
0,0xf7,0x62,0,1
1,0x02,0x18,0,1
1,0x1c,0x53,0,1
1,0x2d,0x84,0,1
1,0x33,0x06,0,1
1,0x49,0x4d,0,1
1,0x57,0xb8,0,1
1,0x66,0x29,0,1
1,0x78,0x15,0,1
1,0x8d,0x89,0,1
1,0x93,0xa6,0,1
1,0xa2,0x3a,0,1
1,0xbc,0x0b,0,1
1,0xc6,0x37,0,1
1,0xd8,0x6f,0,1
1,0xe9,0x24,0,1
1,0xf7,0x62,0,1
2,0x02,0x18,0,1
2,0x1c,0x53,0,1
2,0x2d,0x84,0,1
2,0x33,0x06,0,1
2,0x49,0x4d,0,1
2,0x57,0xb8,0,1
2,0x66,0x29,0,1
2,0x78,0x15,0,1
2,0x8d,0x89,0,1
2,0x93,0xa6,0,1
2,0xa2,0x3a,0,1
2,0xbc,0x0b,0,1
2,0xc6,0x37,0,1
2,0xd8,0x6f,0,1
2,0xe9,0x24,0,1
2,0xf7,0x62,0,1
3,0x02,0x18,0,1
3,0x1c,0x53,0,1
3,0x2d,0x84,0,1
3,0x33,0x06,0,1
3,0x49,0x4d,0,1
3,0x57,0xb8,0,1
3,0x66,0x29,0,1
3,0x78,0x15,0,1
3,0x8d,0x89,0,1
3,0x93,0xa6,0,1
3,0xa2,0x3a,0,1
3,0xbc,0x0b,0,1
3,0xc6,0x37,0,1
3,0xd8,0x6f,0,1
3,0xe9,0x24,0,1
3,0xf7,0x62,0,1
4,0x02,0x18,0,1
4,0x1c,0x53,0,1
4,0x2d,0x84,0,1
4,0x33,0x06,0,1
4,0x49,0x4d,0,1
4,0x57,0xb8,0,1
4,0x66,0x29,0,1
4,0x78,0x15,0,1
4,0x8d,0x89,0,1
4,0x93,0xa6,0,1
4,0xa2,0x3a,0,1
4,0xbc,0x0b,0,1
4,0xc6,0x37,0,1
4,0xd8,0x6f,0,1
4,0xe9,0x24,0,1
4,0xf7,0x62,0,1
5,0x02,0x18,0,1
5,0x1c,0x53,0,1
5,0x2d,0x84,0,1
5,0x33,0x06,0,1
5,0x49,0x4d,0,1
5,0x57,0xb8,0,1
5,0x66,0x29,0,1
5,0x78,0x15,0,1
5,0x8d,0x89,0,1
5,0x93,0xa6,0,1
5,0xa2,0x3a,0,1
5,0xbc,0x0b,0,1
5,0xc6,0x37,0,1
5,0xd8,0x6f,0,1
5,0xe9,0x24,0,1
5,0xf7,0x62,0,1
6,0x02,0x18,0,1
6,0x1c,0x53,0,1
6,0x2d,0x84,0,1
6,0x33,0x06,0,1
6,0x49,0x4d,0,1
6,0x57,0xb8,0,1
