choice_2,choice_28,choice_45,choice_51,choice_73,choice_87,choice_102,choice_120,choice_141,choice_147,choice_162,choice_188,choice_198,choice_216,choice_233,choice_247,on_winning_path,next_combinations,depth
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,3
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,3
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,2
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8,2
0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2
0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,2
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2
0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,2
0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2
0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,2
0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,2
0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,2
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,16,1
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2
0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2
0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,2
0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2
0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,2
0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2
0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,2
0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2
0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,2
0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,2
0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,2
0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2
0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,3
0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4
0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4
0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,4
0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,4
0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,4
